Epoch,Train_Loss,Val_Loss,LR,PLCC,SRCC,PSNR,SSIM,LPIPS,FID,mAP50,mAP50-95,Accuracy,Rank_Margin,MAE,mIoU,mAP_Medium,mAP_Hard,Accuracy_VQA,Quality_Score,Res,Data,Temp,Clamp,Cooldown,Batch,Accumulation,Stress
68,0.16851605,0.22210317,0.00004669,0.4413,0.4443,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5890,0.0000,0.0000,0.0000,0.0000,0.0000,44.2788,224,1.00,0.5000,15.0,0,30,1,0.000000
69,0.20370790,0.20733906,0.00002947,0.4060,0.4510,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5998,0.0000,0.0000,0.0000,0.0000,0.0000,42.8471,224,1.00,0.7534,15.0,0,30,1,0.000000
70,0.16952812,0.21469985,0.00002501,0.4520,0.4592,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5877,0.0000,0.0000,0.0000,0.0000,0.0000,45.5616,224,1.00,0.7534,15.0,5,30,1,0.000000
71,0.16312593,0.20858807,0.00002518,0.4514,0.4580,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5867,0.0000,0.0000,0.0000,0.0000,0.0000,45.4720,224,1.00,0.7534,15.0,4,28,1,0.000000
72,0.17302875,0.21217602,0.00002515,0.4472,0.4546,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5891,0.0000,0.0000,0.0000,0.0000,0.0000,45.0934,224,1.00,0.7384,15.0,0,28,1,0.000000
73,0.17016115,0.21905133,0.00002513,0.4605,0.4646,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5822,0.0000,0.0000,0.0000,0.0000,0.0000,46.2548,224,1.00,0.7236,15.0,0,28,1,0.000000
74,0.28734209,0.20880133,0.00002509,0.4523,0.4544,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5871,0.0000,0.0000,0.0000,0.0000,0.0000,45.3334,224,1.00,0.7091,15.0,0,30,1,2.000000
75,0.17915412,0.20593087,0.00005226,0.4516,0.4594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5937,0.0000,0.0000,0.0000,0.0000,0.0000,45.5520,224,1.00,0.6949,15.0,0,30,1,2.000000
76,0.17749736,0.20785254,0.00005204,0.4398,0.4574,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5939,0.0000,0.0000,0.0000,0.0000,0.0000,44.8599,224,1.00,0.6810,15.0,0,30,1,2.000000
77,0.17537864,0.20120652,0.00005183,0.4343,0.4667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5944,0.0000,0.0000,0.0000,0.0000,0.0000,45.0485,224,1.00,0.6674,15.0,0,30,1,2.000000
78,0.19134002,0.20147526,0.00007741,0.4319,0.4569,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5923,0.0000,0.0000,0.0000,0.0000,0.0000,44.4406,224,1.00,0.6541,15.0,0,30,1,3.000000
79,0.19113416,0.20447915,0.00007851,0.4236,0.4536,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5993,0.0000,0.0000,0.0000,0.0000,0.0000,43.8592,224,1.00,0.6410,15.0,0,30,1,3.000000
80,0.29469437,0.20167116,0.00005110,0.4630,0.4719,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5853,0.0000,0.0000,0.0000,0.0000,0.0000,46.7452,224,1.00,0.6282,15.0,0,30,1,3.000000
81,0.17774081,0.20906887,0.00005093,0.4343,0.4582,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5877,0.0000,0.0000,0.0000,0.0000,0.0000,44.6251,224,1.00,0.6156,15.0,0,30,1,3.000000
82,0.18312915,0.20384065,0.00005070,0.4491,0.4653,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5896,0.0000,0.0000,0.0000,0.0000,0.0000,45.7180,224,1.00,0.6156,15.0,0,30,1,4.000000
83,0.18906286,0.20711770,0.00005047,0.4562,0.4659,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5874,0.0000,0.0000,0.0000,0.0000,0.0000,46.1055,224,1.00,0.6033,15.0,0,30,1,5.000000
84,0.18776292,0.20579036,0.00005023,0.4453,0.4533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5950,0.0000,0.0000,0.0000,0.0000,0.0000,44.9272,224,1.00,0.5912,15.0,0,30,1,5.000000
85,0.18619066,0.20770130,0.00004999,0.4500,0.4574,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5923,0.0000,0.0000,0.0000,0.0000,0.0000,45.3729,224,1.00,0.5794,15.0,0,30,1,5.000000
86,0.18501795,0.21303120,0.00004976,0.4218,0.4468,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5949,0.0000,0.0000,0.0000,0.0000,0.0000,43.4304,224,1.00,0.5678,15.0,0,30,1,5.000000
87,0.18301420,0.21090931,0.00004209,0.4441,0.4621,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5859,0.0000,0.0000,0.0000,0.0000,0.0000,45.3095,224,1.00,0.5678,15.0,0,30,1,5.000000
88,0.15712014,0.20251904,0.00003712,0.4634,0.4779,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5861,0.0000,0.0000,0.0000,0.0000,0.0000,47.0648,224,1.00,0.5565,15.0,0,30,1,5.000000
89,0.16447962,0.22583663,0.00007354,0.4442,0.4410,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5898,0.0000,0.0000,0.0000,0.0000,0.0000,44.2572,224,1.00,0.5453,15.0,0,30,1,1.000000
90,0.17136311,0.22024480,0.00007503,0.4489,0.4502,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5932,0.0000,0.0000,0.0000,0.0000,0.0000,44.9510,224,1.00,0.5453,15.0,0,30,1,2.000000
91,0.17008903,0.21278930,0.00007470,0.4474,0.4543,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5849,0.0000,0.0000,0.0000,0.0000,0.0000,45.0855,224,1.00,0.5344,15.0,0,30,1,2.000000
92,0.16870441,0.20903560,0.00007436,0.4353,0.4498,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5921,0.0000,0.0000,0.0000,0.0000,0.0000,44.2528,224,1.00,0.5237,15.0,0,30,1,2.000000
93,0.16714642,0.21421107,0.00007403,0.4468,0.4420,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5895,0.0000,0.0000,0.0000,0.0000,0.0000,44.4390,224,1.00,0.5133,15.0,0,30,1,2.000000
94,0.17255090,0.21457335,0.00007368,0.4331,0.4543,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5947,0.0000,0.0000,0.0000,0.0000,0.0000,44.3712,224,1.00,0.5030,15.0,0,30,1,3.000000
